model,1,2,3,4,5,6
CA0,-0.0009645353991645234,-0.0014495644501220095,-0.0010264508098409841,1.801183538407969e-05,-5.697912917779213e-05,-0.001886597067236817
CA1,-0.002923522307688442,-0.002241737170915137,0.0003530964427086447,-0.005285752461376747,-0.00038879189193741226,-0.010360343362074254
CA2,0.00026460689020302297,0.0013403869097500243,-0.0005211542013365822,-0.003673901257575274,-0.0031405895075626855,-0.0047632786987192866
CA3,-0.0003267533692525859,-0.0022781315773254818,-0.011776895435003487,-0.008654404985814823,-0.017523605777099993,-0.006947994356466092
FF,-0.013092362253068313,-0.013521875047881826,-0.013652468408822394,-0.01831715264449052,-0.018972857755496397,-0.020810547075537755
IPCA,-3.3664844306446895e-05,-4.508944761782985e-05,-0.0004522756160469932,-0.0005890233241114817,-0.04557761844977093,-0.07265763189934571
PCA,-0.007386927517503139,-0.006790045744249573,-0.007655905976791777,-0.007174502328010313,-0.007084044665092382,-0.006874481312801439
