model,1,2,3,4,5,6
CA0,-0.000935385132013522,-0.0013483233992888088,-0.0009058009839408854,0.0001589427056611914,3.989964787609601e-05,-0.0017120862592787667
CA1,-0.0027363362235974797,-0.002010748140173879,0.0009540525918962928,-0.004675580118959521,0.00021108207519915378,-0.009807396110785849
CA2,0.0002683317815239672,0.0013447768807935967,-0.0004959560487980408,-0.00365343344645086,-0.003096083597370791,-0.004735274985215199
CA3,-0.00029729165624470255,-0.002197442916288761,-0.011586194721170173,-0.008586201956228168,-0.017283251482128836,-0.006770776008788504
FF,0.1567795751301575,0.14032580263851913,0.12058482585336583,0.10303133258131303,0.08195552532360195,0.06449475815311934
IPCA,0.0029904638956269602,0.004449143931385846,0.006046924685247368,0.006696345824723338,0.008655689071913275,0.009562281907641745
PCA,0.11816563651456236,0.12499409302881859,0.14460035156989348,0.15109655739361005,0.15639631075452531,0.15928253948326654
