model,1,2,3,4,5,6
CA0,-0.008690355117144888,-0.009668468599936864,-0.008532617680937271,-0.007837246432928158,-0.008830086230905199,-0.007779556846389868
CA1,-0.004231776906070461,-0.007341782708801592,0.002652562845610773,-0.0012801462192042479,-0.007094545538402164,0.002065361729904236
CA2,-0.008627906684641529,-0.008111158688342446,-0.007559319056294145,-0.008633045043332288,-0.00844985873130022,-0.008717520741975626
CA3,-0.007439053781093996,-0.005868207525429048,-0.007523927572197886,-0.006632319340221127,-0.007956190920524131,-0.006671839474360786
FF,0.1567795751301575,0.14032580263851913,0.12058482585336583,0.10303133258131303,0.08195552532360195,0.06449475815311934
IPCA,0.002948967734674457,0.004347023970481367,0.007754892828443438,0.008659210872702161,0.014267742014925089,0.016512622640918462
PCA,0.11816563651456236,0.12499409302881859,0.14460035156989348,0.15109655739361005,0.15639631075452531,0.15928253948326654
