model,1,2,3,4,5,6
CA0,-0.009466874487660037,-0.010442693076050391,-0.009324181857168767,-0.00886438190592087,-0.009871471631386797,-0.009273190590475044
CA1,-0.010482342629662078,-0.016884835908016704,-0.003723822032025259,-0.004560564950041313,-0.019164112202268324,-0.0034799764478006256
CA2,-0.00868933023747509,-0.00813035890160485,-0.00757923142476602,-0.008644385017294809,-0.008478578205030285,-0.008719584971175864
CA3,-0.007519649367752512,-0.005923035339028049,-0.007584199283206194,-0.006664238996716865,-0.00800271206673786,-0.006706623204980389
FF,-0.013092362253068313,-0.013521875047881826,-0.013652468408822394,-0.01831715264449052,-0.018972857755496397,-0.020810547075537755
IPCA,-4.759228227402268e-05,-2.0011734914282542e-05,-0.2018868184545657,-0.22255294376785817,-0.2659731958853795,-0.26180624950788567
PCA,-0.007386927517503139,-0.006790045744249573,-0.007655905976791777,-0.007174502328010313,-0.007084044665092382,-0.006874481312801439
