date,r2
2017-01-31,0.056393563747406006
2017-02-28,-0.0961536169052124
2017-03-31,-0.14056026935577393
2017-04-30,-0.23533523082733154
2017-05-31,0.10613387823104858
2017-06-30,-0.058579444885253906
2017-07-31,0.07209867238998413
2017-08-31,0.01663970947265625
2017-09-30,-0.06946861743927002
2017-10-31,-0.16091156005859375
2017-11-30,-0.18152308464050293
2017-12-31,-0.10494637489318848
2018-01-31,-0.16742300987243652
2018-02-28,0.05709880590438843
2018-03-31,-0.10746562480926514
2018-04-30,-0.021566152572631836
2018-05-31,-0.12992799282073975
2018-06-30,-0.024340510368347168
2018-07-31,-0.17287075519561768
2018-08-31,-0.06011688709259033
2018-09-30,-0.16292047500610352
2018-10-31,0.09114879369735718
2018-11-30,-0.14309287071228027
2018-12-31,-0.07943856716156006
2019-01-31,0.10181868076324463
2019-02-28,0.1062740683555603
2019-03-31,-0.08730888366699219
2019-04-30,-0.10332345962524414
2019-05-31,-0.0098114013671875
2019-06-30,-0.07581961154937744
2019-07-31,-0.06191515922546387
2019-08-31,0.019235610961914062
2019-09-30,-0.040131568908691406
2019-10-31,-0.09518718719482422
2019-11-30,0.11917811632156372
2019-12-31,-0.0016698837280273438
2020-01-31,-0.007217526435852051
2020-02-29,-0.048352599143981934
2020-03-31,0.02637958526611328
2020-04-30,0.01832425594329834
2020-05-31,0.060569703578948975
2020-06-30,0.05267876386642456
2020-07-31,0.03202325105667114
2020-08-31,-0.1102287769317627
2020-09-30,-0.00217592716217041
2020-10-31,0.03457123041152954
2020-11-30,-0.03615736961364746
2020-12-31,-0.07911741733551025
2021-01-31,0.04477715492248535
2021-02-28,0.01565384864807129
2021-03-31,0.0010065436363220215
2021-04-30,0.056640625
2021-05-31,0.02620697021484375
2021-06-30,-0.004978060722351074
2021-07-31,0.03543311357498169
2021-08-31,-0.028968095779418945
2021-09-30,-0.039690494537353516
2021-10-31,0.05578213930130005
2021-11-30,0.02203887701034546
2021-12-31,-0.10351705551147461
2022-01-31,0.0784713625907898
2022-02-28,-0.07062220573425293
2022-03-31,-0.11201417446136475
2022-04-30,0.09448933601379395
2022-05-31,0.06779015064239502
2022-06-30,0.03206747770309448
2022-07-31,-0.06533873081207275
2022-08-31,-0.16291558742523193
2022-09-30,0.040701985359191895
2022-10-31,0.08486872911453247
2022-11-30,-0.10189223289489746
2022-12-31,0.13061660528182983
2023-01-31,0.05169445276260376
2023-02-28,-0.0297776460647583
2023-03-31,-0.04984724521636963
2023-04-30,-0.008597612380981445
2023-05-31,0.030086219310760498
2023-06-30,0.007959425449371338
2023-07-31,-0.11403751373291016
2023-08-31,-0.022362828254699707
2023-09-30,-0.03527569770812988
2023-10-31,0.06855666637420654
2023-11-30,-0.08244466781616211
